French,English
pensais,thought
aide,help
laisser,let
car,because
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
parle,speak
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
leurs,their
donné,given
train,train
corps,body
trouve,find
perdu,lost
main,hand
côté,side
vieux,old
tiens,here
enfant,child
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
terre,Earth
compte,account
loin,far
chérie,sweetheart
aura,will have
bureau,office
